target, r_throughput, r_variance, w_throughput, w_variance
1500, 367.125, 26.796875, 19.25, 0.1875
2000, 488.25, 44.6875, 25.5, 0.25
2500, 610.5, 79.25, 31.75, 0.1875
3000, 732.25, 104.6875, 38.25, 0.6875
3500, 856.75, 169.6875, 45.0, 1.0
4000, 980.0, 212.625, 51.0, 0.5
4500, 1100.75, 207.1875, 57.5, 1.25
1500, 365.75, 16.1875, 19.25, 0.1875
2000, 488.25, 50.6875, 25.5, 0.25
2500, 609.25, 101.6875, 32.0, 0.0
3000, 732.75, 100.6875, 38.75, 0.1875
3500, 854.0, 126.0, 45.25, 0.1875
4000, 975.75, 197.1875, 50.75, 1.6875
4500, 1096.5, 276.75, 58.0, 1.5
1500, 365.75, 31.1875, 19.0, 0.0
2000, 488.5, 61.25, 25.5, 0.25
2500, 611.375, 98.421875, 32.25, 0.6875
3000, 733.5, 98.75, 38.75, 0.6875
3500, 856.25, 228.1875, 45.0, 1.0
4000, 977.75, 172.8125, 51.5, 0.25
4500, 1098.0, 397.5, 58.0, 0.5
1500, 366.5, 22.25, 19.0, 0.0
2000, 488.5, 58.25, 25.75, 0.1875
2500, 610.375, 88.671875, 31.875, 0.296875
3000, 732.25, 126.1875, 39.0, 0.5
3500, 859.5, 154.25, 45.25, 0.1875
4000, 979.25, 141.6875, 51.25, 1.1875
4500, 1122.125, 287.421875, 62.25, 0.6875
1500, 366.5, 28.25, 19.25, 0.1875
2000, 489.0, 66.5, 25.5, 0.25
2500, 610.0, 72.5, 32.25, 0.1875
3000, 731.5, 132.75, 38.5, 0.75
3500, 854.25, 215.6875, 45.25, 0.6875
4000, 978.0, 276.0, 51.5, 0.75
4500, 1098.5, 185.25, 58.0, 1.5
1500, 367.0, 27.0, 19.0, 0.5
2000, 488.5, 34.75, 25.75, 0.1875
2500, 611.0, 85.625, 31.5, 0.25
3000, 732.625, 108.421875, 39.25, 0.1875
3500, 854.25, 144.6875, 45.5, 0.75
4000, 975.5, 218.125, 51.5, 1.25
4500, 1104.625, 258.171875, 59.0, 2.5
1500, 366.0, 21.5, 19.25, 0.1875
2000, 489.25, 52.8125, 25.5, 0.25
2500, 610.75, 88.6875, 32.0, 0.5
3000, 733.25, 109.6875, 38.5, 0.25
3500, 860.75, 111.1875, 46.75, 0.1875
4000, 976.0, 195.5, 52.0, 1.0
4500, 1097.75, 311.1875, 57.5, 1.25
1500, 366.0, 27.5, 18.75, 0.1875
2000, 489.0, 62.5, 25.5, 0.25
2500, 610.875, 105.796875, 31.875, 0.046875
3000, 732.25, 101.1875, 38.5, 0.25
3500, 855.0, 150.5, 44.75, 0.6875
4000, 976.625, 236.421875, 51.125, 1.796875
4500, 1099.5, 363.25, 58.5, 1.25
1500, 366.5, 20.75, 19.0, 0.5
2000, 488.25, 58.1875, 25.75, 0.1875
2500, 610.875, 70.296875, 31.75, 0.1875
3000, 732.25, 157.6875, 38.5, 0.25
3500, 857.0, 134.0, 45.25, 0.6875
4000, 976.0, 205.875, 51.25, 0.6875
4500, 1097.25, 214.1875, 58.25, 1.6875
1500, 366.625, 29.421875, 19.25, 0.1875
2000, 488.75, 53.6875, 25.5, 0.25
2500, 611.0, 86.0, 31.5, 0.25
3000, 733.5, 100.25, 38.5, 0.25
3500, 859.5, 252.25, 46.25, 0.6875
4000, 977.875, 200.546875, 51.75, 0.5625
4500, 1099.5, 267.25, 58.25, 1.1875
1500, 366.5, 25.25, 19.0, 0.5
2000, 488.25, 47.1875, 25.25, 0.1875
2500, 610.75, 111.6875, 32.375, 0.421875
3000, 732.75, 123.1875, 38.25, 0.6875
3500, 854.5, 131.25, 45.0, 0.5
4000, 976.125, 187.296875, 51.625, 0.921875
4500, 1100.75, 309.6875, 58.25, 0.1875
