taget, prediction
1500, 13.8813323667768
2000, 14.160877447344248
2500, 15.401850566048731
3000, 15.408721093399935
3500, 17.8600679637015
4000, 19.973619976654206
4500, 18.0614922411659
1500, 13.50769593087529
2000, 14.441651103305102
2500, 17.402292409968705
3000, 17.136223593647248
3500, 18.308950013763166
4000, 16.53801471503396
4500, 21.96518166382115
1500, 14.216111912039342
2000, 14.913595957401322
2500, 15.926118811850056
3000, 15.851517987227783
3500, 20.64227864815622
4000, 19.707407278938312
4500, 29.735824483712438
1500, 13.730874845426392
2000, 15.33024619070606
2500, 15.815458980343703
3000, 18.085937877781816
3500, 19.139583050045104
4000, 15.58753810193222
4500, 29.08147833104084
1500, 14.005166660125324
2000, 15.114605367530668
2500, 15.962962413225958
3000, 17.064201798399715
3500, 21.356559650748956
4000, 23.386757641836024
4500, 17.504713255072545
1500, 12.781448645798163
2000, 14.230549371526052
2500, 15.098467975385573
3000, 18.34163994054017
3500, 18.309348998557155
4000, 19.774761641134788
4500, 19.780513210610245
1500, 13.733963836005765
2000, 14.451756695451769
2500, 15.532909067116822
3000, 16.95567947746696
3500, 19.509722290208764
4000, 20.06717701512322
4500, 23.196240844172415
1500, 13.182422820669832
2000, 14.927422930223432
2500, 17.135685153775988
3000, 16.647251875861897
3500, 17.406754888206223
4000, 18.673539490360007
4500, 27.140830211415576
1500, 12.533643626342009
2000, 15.34965523454133
2500, 14.949382972167344
3000, 19.29120380282659
3500, 17.288271850265065
4000, 20.00860808312754
4500, 18.96404820579615
1500, 14.048838380096072
2000, 14.537370392449127
2500, 15.116016328883127
3000, 16.491712145027
3500, 24.263144301571764
4000, 20.70584607911696
4500, 22.373174106030312
1500, 12.744223868312648
2000, 14.002588860649649
2500, 17.409543742151975
3000, 16.22977232710949
3500, 17.38940346006027
4000, 19.224003551228517
4500, 26.501469539934092
