low, high
24815, 38079
16863, 35487
15143, 39775
15799, 31759
20431, 36063
15991, 32991
15511, 35583
13487, 30271
16959, 32591
14895, 33503
16375, 33727
15607, 33183
13895, 31375
13863, 30479
14519, 32143
12423, 33343
12791, 30063
14463, 29359
15487, 33471
13063, 30751
12791, 30351
16023, 30623
12079, 27839
12239, 32239
13439, 30879
14239, 28303
15663, 30239
13055, 27839
16071, 31359
12983, 29871
14671, 28847
12327, 28991
12759, 28239
11575, 29103
13647, 28591
12775, 27999
13423, 28367
12607, 29359
12503, 29455
14271, 35935
60223, 55455
14767, 37023
20767, 45631
15863, 35391
13391, 32959
14239, 35295
14119, 34879
12447, 35039
11863, 32767
12807, 30527
13175, 36031
11599, 32927
12663, 32159
11063, 29887
12607, 31935
11791, 29535
12751, 31375
11159, 29679
10415, 30879
9743, 28079
10871, 32767
11119, 30239
11439, 29231
11271, 29727
10839, 30591
11631, 28239
10319, 28799
10231, 28639
10255, 29887
10599, 31135
9759, 28303
9183, 28479
9967, 29503
11607, 29103
11503, 29535
12903, 28479
9583, 28751
12175, 28879
10207, 29023
10407, 27663
10711, 31775
60095, 49727
14047, 39103
14455, 36255
14815, 35423
13847, 33887
13319, 35007
14871, 36799
11871, 33215
10879, 34335
12423, 32287
12839, 33983
11991, 33503
12767, 33183
10623, 32287
11111, 31295
14335, 32575
13471, 30255
9911, 30319
13575, 31087
11943, 33439
10903, 31471
10727, 30367
10183, 29951
11407, 29503
11015, 31311
9903, 29871
10503, 29503
10351, 30239
9903, 30959
9583, 32959
9639, 31247
9959, 32015
11639, 31167
9615, 31087
9847, 30415
9399, 31567
10023, 32319
10023, 30351
10055, 30351
9791, 30303
9727, 33695
82943, 51807
17407, 35871
20031, 37023
16815, 34335
14895, 33375
15007, 33599
16703, 34623
10335, 31167
10671, 33151
12855, 31183
12999, 32047
12615, 30959
10887, 30863
11535, 31007
13311, 30591
11807, 31311
12831, 32639
11391, 30735
12711, 33631
11703, 31263
12455, 30767
12423, 32239
11327, 30207
11295, 32863
12543, 30159
10391, 30527
10743, 31391
10279, 30735
10655, 30991
11063, 31839
11431, 31183
10327, 29935
10551, 30831
10719, 31183
11991, 30175
11567, 30671
10191, 30447
10991, 29999
11815, 31087
10551, 30127
12815, 29263
54207, 54527
15535, 36383
18239, 33343
18015, 35199
15471, 30463
16199, 30399
16959, 32015
14727, 31615
13855, 31007
14103, 28575
14783, 30751
13423, 28431
13551, 29327
12927, 28111
13863, 28463
15079, 29519
13735, 29919
13159, 31631
12263, 29503
11543, 30975
12895, 28927
11279, 27999
12967, 28559
11911, 29247
13071, 29151
11079, 27823
12063, 28431
10575, 28239
10607, 28111
10839, 28703
12095, 27727
10551, 28783
11415, 28079
10263, 26527
11391, 26799
11239, 27631
10207, 29567
10567, 29775
10919, 27999
10223, 26847
9847, 29055
83839, 60383
22783, 36351
14919, 35295
14951, 34943
12663, 36479
9263, 33951
9951, 35007
8375, 33535
8423, 35199
8759, 33247
9431, 35039
8479, 35135
10895, 32591
7043, 32047
8223, 33247
8751, 30319
8335, 30959
8359, 32671
8011, 29999
8367, 31359
8115, 30799
7759, 29583
9583, 30063
7687, 29871
8359, 30895
7763, 29679
8011, 31007
7563, 29279
8535, 31151
6995, 30367
7831, 33727
7463, 31471
7619, 30063
6867, 29391
6899, 31279
8067, 32351
7795, 31711
7807, 32079
8655, 31599
51199, 30223
22431, 31439
15175, 53887
13863, 41983
11431, 35935
11759, 34879
10255, 32239
10511, 33599
9727, 33439
9159, 32335
11311, 35999
9895, 33375
9903, 32623
10287, 32591
8943, 32895
10503, 31919
9519, 30911
9703, 31087
9695, 32703
8551, 34367
8471, 32527
8951, 31615
11455, 31183
8879, 31119
9031, 30975
9655, 30287
8187, 31519
9223, 30255
9615, 30783
8791, 30623
9343, 30431
8967, 30063
9199, 30767
9119, 30703
9135, 29967
9823, 30703
9759, 29999
9551, 29951
8711, 29823
8431, 30527
55807, 30927
14063, 31647
15055, 32191
14887, 54751
13431, 33855
12039, 36607
14359, 34367
11607, 35039
10527, 31663
11799, 30751
11351, 31087
11039, 29087
10287, 29231
10143, 28927
10759, 29263
11463, 29615
11919, 27503
10551, 30463
10535, 26863
11535, 28591
11207, 29295
11151, 29423
10551, 26831
10519, 26639
10591, 30415
9935, 28783
10967, 26591
10287, 28607
11231, 26735
10935, 26111
10895, 26527
10711, 28639
10375, 28143
11407, 29199
11175, 28271
10615, 27119
10703, 27679
10383, 26223
10351, 26447
9847, 29535
9303, 26831
89983, 26319
14271, 25759
14359, 26335
14831, 56607
13423, 35519
12975, 36063
13159, 39391
11463, 36479
12567, 33055
12791, 36031
12823, 34591
11983, 34367
12375, 34079
11783, 33663
11295, 36575
11575, 34015
11879, 34015
10847, 31247
12103, 33247
10607, 34015
13567, 33535
11599, 34207
12023, 32591
11015, 34367
12199, 31791
10535, 30959
11047, 30911
11055, 31119
11111, 31583
10439, 30047
12191, 30751
9663, 30175
9927, 31007
10183, 30479
11591, 30255
11799, 30863
10895, 30127
11959, 32591
11903, 31759
10887, 32799
11503, 33343
100799, 33535
18079, 33279
16559, 34559
15335, 58335
16327, 37343
15847, 37439
16215, 34879
13983, 39551
12407, 33343
14095, 34623
13215, 34431
13991, 33055
12087, 34079
11831, 31791
12087, 30927
13327, 30159
11695, 29647
11927, 30559
13527, 32415
12127, 33791
12743, 31679
12823, 30191
11055, 29855
11679, 30975
12815, 28431
12631, 29311
13175, 29903
13215, 30319
13159, 30751
12695, 28719
11783, 28943
13855, 30463
12055, 30431
13527, 30495
13567, 30831
12439, 31615
11919, 29919
12327, 29279
12767, 30447
13599, 30671
13679, 30175
​
