x, sr_0, sr_1, sr_5, sr_10, sr_20, sr_30, sr_40
10.0, 1137, 1058, 1060, 1090, 1146, 1071, 1139
20.0, 1296, 1172, 1178, 1231, 1282, 1180, 1320
30.0, 1471, 1290, 1325, 1398, 1426, 1308, 1487
40.0, 1672, 1427, 1479, 1574, 1605, 1491, 1665
50.0, 1891, 1592, 1634, 1791, 1796, 1713, 1862
60.0, 2161, 1811, 1825, 2061, 2013, 1989, 2109
70.0, 2531, 2187, 2101, 2347, 2315, 2347, 2477
80.0, 3143, 2605, 2577, 2837, 2789, 3035, 2969
90.0, 4751, 3875, 3619, 3879, 3891, 4823, 4219
95.0, 7251, 6011, 5579, 5507, 5955, 7371, 6663
96.0, 7995, 6767, 6459, 6255, 6759, 8095, 7467
97.0, 8919, 7779, 7663, 7095, 7791, 9071, 8367
98.0, 10503, 9191, 9319, 8535, 9239, 10607, 9663
99.0, 13975, 11959, 12223, 11239, 12111, 13823, 12495
99.1, 14519, 12431, 12719, 11703, 12575, 14375, 12951
99.2, 15223, 12975, 13319, 12215, 13071, 14951, 13479
99.3, 15967, 13575, 14087, 12823, 13655, 15607, 14175
99.4, 16911, 14255, 15007, 13623, 14383, 16359, 14911
99.5, 18095, 15151, 16127, 14551, 15319, 17295, 15791
99.6, 19695, 16255, 17551, 15727, 16319, 18511, 16863
99.7, 21791, 17759, 19503, 17231, 17855, 20175, 18415
99.8, 24911, 20159, 22495, 19471, 19999, 22847, 20799
99.85, 27295, 21871, 24847, 21327, 21567, 24975, 22559
99.89, 29871, 23727, 28063, 23647, 23215, 27647, 24799
99.9, 30639, 24351, 29007, 24399, 23871, 28559, 25551
