second, average, variance
0, 0.0, 0.0
1, 0.0, 0.0
2, 0.0, 0.0
3, 0.0, 0.0
4, 0.0, 0.0
5, 0.0, 0.0
6, 0.0, 0.0
7, 0.0, 0.0
8, 0.0, 0.0
9, 0.0, 0.0
10, 0.0, 0.0
11, 2.25, 2.1875
12, 7.5, 13.25
13, 12.25, 24.6875
14, 13.5, 19.25
15, 17.75, 20.6875
16, 25.25, 47.6875
17, 24.75, 3.1875
18, 23.5, 6.75
19, 26.75, 37.1875
20, 25.75, 2.1875
21, 22.25, 25.6875
22, 22.25, 7.6875
23, 26.25, 45.1875
24, 25.0, 16.5
25, 30.0, 21.5
26, 23.25, 7.6875
27, 26.0, 23.5
28, 26.25, 16.1875
29, 29.5, 11.25
30, 27.75, 1.1875
31, 26.0, 44.5
32, 26.25, 24.1875
33, 35.0, 7.5
34, 29.0, 3.5
35, 38.25, 25.6875
36, 37.75, 0.6875
37, 32.75, 3.6875
38, 37.5, 15.25
39, 42.25, 51.1875
40, 36.25, 9.6875
41, 43.5, 20.75
42, 36.25, 13.6875
43, 41.0, 38.0
44, 35.75, 21.1875
45, 29.25, 16.1875
46, 36.25, 15.1875
47, 43.25, 15.6875
48, 38.25, 24.1875
49, 31.25, 26.6875
50, 42.0, 76.5
51, 48.75, 35.1875
52, 46.75, 13.6875
53, 41.0, 12.5
54, 40.75, 16.6875
55, 39.5, 17.25
56, 37.75, 15.6875
57, 40.75, 51.1875
58, 35.5, 71.25
59, 41.0, 9.5
60, 42.75, 5.6875
61, 49.75, 5.6875
62, 51.25, 31.6875
63, 26.25, 5.1875
64, 25.0, 33.0
65, 23.75, 29.6875
66, 22.0, 22.5
67, 22.5, 24.75
68, 26.25, 29.6875
69, 27.25, 9.1875
70, 27.5, 14.75
71, 22.0, 19.5
72, 21.25, 6.6875
73, 28.25, 80.1875
74, 25.0, 41.5
75, 25.5, 10.25
76, 25.75, 41.1875
77, 27.5, 2.75
78, 25.75, 15.1875
79, 26.25, 10.6875
80, 28.5, 10.25
81, 22.5, 36.25
82, 26.25, 7.1875
83, 36.75, 13.1875
84, 38.75, 100.6875
85, 34.5, 17.25
86, 40.5, 8.25
87, 48.5, 17.25
88, 40.75, 43.6875
89, 40.75, 6.6875
90, 47.5, 52.75
91, 44.25, 9.1875
92, 48.0, 7.5
93, 48.75, 4.6875
94, 47.25, 26.1875
95, 45.0, 36.0
96, 54.0, 65.5
97, 49.5, 52.25
98, 51.0, 76.5
99, 49.75, 25.6875
100, 52.75, 43.6875
101, 50.5, 59.25
102, 54.5, 51.25
103, 52.75, 38.1875
104, 44.25, 71.1875
105, 46.75, 3.1875
106, 56.25, 26.1875
107, 48.75, 24.1875
108, 53.75, 28.1875
109, 56.75, 59.6875
110, 53.75, 29.1875
111, 51.75, 12.1875
112, 58.25, 8.1875
113, 61.0, 28.5
114, 59.5, 20.25
115, 57.0, 62.0
116, 52.75, 20.1875
117, 59.5, 18.25
118, 60.75, 9.6875
119, 65.25, 8.1875
120, 63.5, 93.25
121, 55.5, 10.25
122, 62.5, 10.25
123, 55.75, 22.6875
124, 56.25, 35.6875
125, 56.0, 3.5
126, 60.25, 15.6875
127, 61.75, 12.6875
128, 61.0, 71.5
129, 34.0, 9.5
130, 30.0, 21.0
131, 21.5, 2.75
132, 24.25, 9.6875
133, 27.0, 24.5
134, 24.25, 16.6875
135, 22.75, 51.6875
136, 23.25, 10.6875
137, 26.25, 23.1875
138, 26.0, 27.5
139, 25.0, 8.5
140, 27.75, 17.6875
141, 25.25, 4.6875
142, 29.0, 15.5
143, 21.25, 17.1875
144, 27.25, 26.1875
145, 26.75, 20.1875
146, 24.5, 11.25
147, 25.0, 5.0
148, 29.5, 22.25
149, 23.0, 12.0
150, 30.5, 7.25
151, 25.25, 18.6875
152, 22.75, 17.1875
153, 24.5, 12.75
154, 26.75, 8.1875
155, 22.0, 28.5
156, 27.5, 16.25
157, 23.25, 10.6875
158, 26.75, 6.6875
159, 26.5, 4.25
160, 27.25, 1.6875
161, 23.75, 15.6875
162, 31.5, 3.25
163, 24.75, 23.1875
164, 26.0, 19.0
165, 25.75, 37.1875
166, 27.25, 42.6875
167, 23.25, 10.6875
168, 24.0, 24.5
169, 25.5, 5.25
170, 23.75, 22.1875
171, 22.25, 4.6875
172, 28.75, 8.1875
173, 26.25, 43.6875
174, 28.25, 46.1875
175, 24.75, 4.6875
176, 28.75, 0.6875
177, 26.0, 22.0
178, 22.5, 4.25
179, 25.75, 8.6875
180, 30.25, 18.6875
181, 27.25, 15.6875
182, 21.5, 6.75
183, 25.25, 12.1875
184, 23.0, 1.5
185, 26.75, 11.6875
186, 27.5, 46.25
187, 20.5, 12.75
188, 23.25, 1.6875
189, 28.0, 31.5
190, 21.5, 7.25
191, 24.5, 19.25
192, 21.75, 73.1875
193, 23.75, 19.6875
194, 24.25, 32.6875
195, 35.0, 33.5
196, 29.5, 11.25
197, 22.5, 20.25
198, 26.75, 12.1875
199, 27.25, 12.1875
200, 23.25, 3.6875
201, 26.25, 14.6875
202, 25.25, 8.6875
203, 29.25, 13.6875
204, 20.5, 8.75
205, 28.5, 2.25
206, 23.75, 23.1875
207, 28.0, 16.5
208, 25.75, 33.1875
209, 17.25, 3.6875
210, 24.0, 3.5
211, 26.25, 25.6875
212, 31.0, 13.5
213, 27.5, 12.25
214, 21.75, 11.1875
215, 25.25, 16.1875
216, 25.75, 56.1875
217, 26.0, 44.5
218, 28.25, 57.6875
219, 24.0, 8.0
220, 29.0, 24.5
221, 22.5, 4.25
222, 29.25, 14.1875
223, 27.75, 28.6875
224, 26.75, 24.1875
225, 25.5, 5.25
226, 24.75, 11.6875
227, 28.0, 17.5
228, 30.25, 20.6875
229, 26.5, 25.25
230, 27.0, 72.5
231, 26.0, 19.5
232, 24.25, 0.1875
233, 33.25, 26.1875
234, 29.25, 20.6875
235, 39.0, 31.5
236, 39.25, 55.6875
237, 39.75, 43.6875
238, 51.0, 43.5
239, 42.25, 9.1875
240, 45.75, 27.6875
241, 51.5, 61.25
242, 52.75, 21.1875
243, 54.75, 39.1875
244, 47.75, 32.1875
245, 51.75, 76.1875
246, 54.0, 104.0
247, 52.5, 38.25
248, 56.0, 42.5
249, 47.75, 54.6875
250, 50.25, 64.1875
251, 49.5, 11.25
252, 50.25, 21.6875
253, 51.0, 59.0
254, 49.75, 9.6875
255, 57.0, 21.5
256, 48.25, 100.6875
257, 55.5, 45.25
258, 58.5, 28.75
259, 57.75, 1.1875
260, 63.25, 37.1875
261, 58.25, 30.1875
262, 53.75, 33.1875
263, 59.25, 62.1875
264, 59.0, 7.5
265, 53.75, 57.1875
266, 59.0, 56.0
267, 65.75, 50.1875
268, 65.75, 63.1875
269, 68.75, 21.1875
270, 67.25, 58.1875
271, 61.0, 61.5
272, 67.25, 75.6875
273, 65.75, 107.1875
274, 67.75, 104.1875
275, 65.5, 25.25
276, 63.25, 43.1875
277, 38.75, 17.1875
278, 28.25, 11.1875
279, 28.0, 23.5
280, 25.0, 6.5
281, 29.0, 69.0
282, 27.25, 41.1875
283, 22.5, 0.75
284, 25.25, 23.1875
285, 24.0, 26.5
286, 25.5, 15.25
287, 30.0, 13.5
288, 26.5, 26.25
289, 28.5, 16.25
290, 28.5, 34.25
291, 25.5, 16.25
292, 25.25, 13.6875
293, 27.5, 5.25
294, 24.0, 9.0
295, 29.75, 21.6875
296, 27.75, 5.1875
297, 25.0, 13.5
298, 24.75, 32.1875
299, 25.0, 9.0
300, 25.25, 10.6875
301, 25.75, 39.1875
302, 29.75, 5.1875
303, 21.25, 8.1875
304, 27.75, 60.6875
305, 25.0, 6.5
306, 26.25, 1.1875
307, 30.75, 10.1875
308, 27.25, 21.1875
309, 22.5, 3.25
310, 22.25, 14.1875
311, 26.0, 10.5
312, 30.75, 39.1875
313, 29.0, 40.5
314, 29.25, 33.6875
315, 28.5, 51.25
316, 26.75, 11.1875
317, 31.0, 9.5
318, 23.0, 17.5
319, 26.0, 8.5
320, 26.0, 44.0
321, 27.0, 24.5
322, 28.0, 23.5
323, 26.5, 49.25
324, 26.0, 13.5
325, 23.25, 27.6875
326, 24.25, 29.6875
327, 24.75, 12.1875
328, 16.5, 26.75
329, 23.25, 10.6875
330, 25.75, 5.6875
331, 28.5, 17.25
332, 28.5, 12.25
333, 25.5, 42.75
334, 25.0, 12.5
335, 21.0, 33.5
336, 29.75, 2.1875
337, 25.0, 9.5
338, 25.5, 34.75
339, 25.0, 67.5
