second, sr
0, 1428298
1, 714156
2, 357085
3, 178549
4, 89281
5, 44647
6, 22330
7, 11172
8, 5593
9, 2803
10, 1408
11, 707
12, 340
13, 142
14, 57
15, 3
16, 1
17, 37
18, 25
19, 1
20, 18
21, 1
22, 10
23, 1
24, 1
25, 1
26, 1
27, 1
28, 35
29, 47
30, 31
31, 1
32, 1
33, 5
34, 9
35, 16
36, 75
37, 63
38, 34
39, 1
40, 37
41, 13
42, 1
43, 1
44, 1
45, 1
46, 7
47, 1
48, 1
49, 1
50, 1
51, 1
52, 1
53, 24
54, 1
55, 22
56, 3
57, 1
58, 1
59, 12
60, 7
61, 39
62, 39
63, 25
64, 1
65, 1
66, 1
67, 1
68, 1
69, 1
70, 1
71, 1
72, 26
73, 1
74, 1
75, 3
76, 1
77, 9
78, 1
79, 1
80, 1
81, 1
82, 1
83, 1
84, 1
85, 1
86, 5
87, 1
88, 1
89, 1
90, 1
91, 20
92, 31
93, 46
94, 11
95, 48
96, 1
97, 1
98, 1
99, 7
100, 1
101, 1
102, 1
103, 1
104, 1
105, 13
106, 1
107, 1
108, 3
109, 1
110, 1
111, 5
112, 26
113, 1
114, 1
115, 1
116, 1
117, 38
118, 20
119, 12
120, 1
121, 1
122, 39
123, 9
124, 1
125, 17
126, 112
127, 88
128, 1
129, 14
130, 1
131, 29
132, 23
133, 29
134, 14
135, 1
136, 1
137, 1
138, 1
139, 1
140, 1
141, 1
142, 1
143, 1
144, 1
145, 1
146, 1
147, 5
148, 1
149, 1
150, 30
151, 10
152, 1
153, 1
154, 1
155, 9
156, 1
157, 33
158, 53
159, 45
160, 50
161, 10
162, 55
163, 3
164, 1
165, 1
166, 1
167, 1
168, 1
169, 2
170, 1
171, 1
172, 1
173, 1
174, 1
175, 4
176, 22
177, 1
178, 16
179, 9
180, 1
181, 11
182, 10
183, 1
184, 9
185, 9
186, 1
187, 1
188, 20
189, 1
190, 5
191, 1
192, 1
193, 1
194, 1
195, 1
196, 4
197, 1
198, 1
199, 1
200, 5
201, 1
202, 3
203, 1
204, 1
205, 32
206, 1
207, 28
208, 1
209, 7
210, 23
211, 1
212, 1
213, 1
214, 6
215, 1
216, 1
217, 1
218, 1
219, 8
220, 1
221, 4
222, 3
223, 1
224, 1
225, 14
226, 7
227, 14
228, 1
229, 1
230, 1
231, 1
232, 15
233, 1
234, 8
235, 1
236, 1
237, 1
238, 1
239, 1
240, 1
241, 1
242, 1
243, 1
244, 1
245, 1
246, 1
247, 1
248, 1
249, 1
250, 1
251, 89
252, 65
253, 1
254, 11
255, 24
256, 1
257, 1
258, 3
259, 19
260, 32
261, 1
262, 1
263, 1
264, 6
265, 1
266, 1
267, 44
268, 1
269, 1
270, 1
271, 1
272, 1
273, 1
274, 1
275, 47
276, 1
277, 1
278, 1
279, 1
280, 5
281, 1
282, 1
283, 21
284, 1
285, 1
286, 7
287, 8
288, 1
289, 1
290, 1
291, 1
292, 1
293, 4
294, 1
295, 1
296, 30
297, 18
298, 1
299, 9
300, 1
301, 1
302, 14
303, 23
304, 1
305, 22
306, 34
307, 16
308, 1
309, 9
310, 10
311, 10
312, 1
313, 1
314, 1
315, 1
316, 6
317, 2
318, 1
319, 1
320, 1
321, 1
322, 1
323, 1
324, 1
325, 1
326, 1
327, 44
328, 1
329, 1
330, 25
331, 1
332, 3
333, 1
334, 3
335, 1
336, 15
337, 22
338, 1
339, 1
340, 1
341, 1
342, 1
343, 1
344, 1
345, 1
346, 1
347, 1
348, 1
349, 1
350, 17
351, 1
352, 7
353, 3
354, 44
355, 1
356, 1
357, 14
358, 1
359, 6
360, 19
361, 1
362, 1
363, 1
364, 10
365, 13
366, 1
367, 1
368, 1
369, 1
370, 1
371, 1
372, 1
373, 24
374, 1
375, 1
376, 9
377, 1
378, 1
379, 39
380, 47
381, 32
382, 1
383, 1
384, 52
385, 22
386, 1
387, 1
388, 1
389, 24
390, 37
391, 17
392, 1
393, 28
394, 1
395, 1
396, 1
397, 25
398, 1
399, 16
400, 22
401, 35
402, 41
403, 48
404, 1
405, 1
406, 38
407, 22
408, 54
409, 1
410, 1
411, 1
412, 1
413, 17
414, 1
415, 37
416, 49
417, 1
418, 1
419, 25
420, 1
421, 1
422, 1
423, 2
424, 5
425, 38
426, 31
427, 1
428, 6
429, 11
430, 1
431, 5
432, 45
433, 4
434, 20
435, 2
436, 1
437, 1
438, 13
439, 1
440, 15
441, 1
442, 12
443, 2
444, 8
445, 1
446, 1
447, 21
448, 1
449, 1
450, 1
451, 6
452, 1
453, 4
454, 18
455, 51
456, 29
457, 24
458, 1
459, 1
460, 1
461, 3
462, 1
463, 1
464, 1
465, 2
466, 58
467, 23
468, 1
469, 1
470, 1
471, 1
472, 2
473, 13
474, 10
475, 1
476, 1
477, 1
478, 7
479, 1
480, 26
481, 1
482, 1
483, 1
484, 5
485, 1
486, 7
487, 10
